State,District,Year,Season,Crop,AreaHectares,ProductionTonnes,YieldKgPerHa,IrrigationType,SoilType,FarmerBeneficiaries,MSP,MarketPrice,CropInsuranceCoverage,FertilizerUsageKg,WaterUsageLitres,Status
Haryana,Haryana District 7,2020,Zaid,Groundnut,3150,9868,3133,Tube Well,Arid,1450,2767,2982,63.0,225,524029,Harvested
Uttarakhand,Uttarakhand District 1,2021,Rabi,Soybean,4388,10561,2407,Canal,Arid,1624,2346,2412,44.4,211,384455,Harvested
Puducherry,Puducherry District 5,2022,Rabi,Mustard,33564,52494,1564,Rain-fed,Black,6951,2814,3315,76.1,56,393167,Harvested
Haryana,Haryana District 6,2021,Rabi,Jowar,17197,30696,1785,Rain-fed,Forest,5844,2077,2158,77.1,83,484990,Harvested
Arunachal Pradesh,Arunachal District 1,2023,Zaid,Sugarcane,33170,31378,946,Rain-fed,Arid,15452,3617,3404,43.6,144,374961,Standing
Meghalaya,Meghalaya District 2,2021,Zaid,Tea,5107,14999,2937,Canal,Forest,2550,1204,1219,44.0,58,252565,Harvested
Mizoram,Mizoram District 4,2019,Kharif,Sugarcane,50391,162208,3219,Sprinkler,Forest,18825,930,801,56.0,53,307027,Harvested
Uttarakhand,Uttarakhand District 2,2020,Zaid,Turmeric,28192,74906,2657,Tube Well,Arid,7754,892,895,64.2,102,56956,Harvested
Karnataka,Karnataka District 7,2020,Rabi,Pulses,18542,52121,2811,Drip,Alluvial,6090,1113,964,49.0,132,538866,Harvested
Karnataka,Karnataka District 4,2023,Rabi,Mango,1689,4219,2498,Sprinkler,Alluvial,614,1940,1728,74.3,83,205993,Failed
Chandigarh,Chandigarh District 8,2018,Kharif,Wheat,27092,60469,2232,Canal,Black,7420,1229,1447,26.8,104,68205,Harvested
Manipur,Manipur District 2,2020,Kharif,Turmeric,13156,14182,1078,Sprinkler,Alluvial,2303,3034,2882,20.4,121,539448,Harvested
Ladakh,Ladakh District 2,2018,Kharif,Sunflower,44375,70112,1580,Sprinkler,Black,13555,3608,4201,35.7,134,202113,Harvested
Ladakh,Ladakh District 7,2022,Zaid,Sugarcane,21523,15475,719,Tube Well,Laterite,5947,1083,1094,29.2,138,331268,Harvested
Sikkim,Sikkim District 4,2018,Rabi,Tea,38018,66151,1740,Rain-fed,Alluvial,22777,1765,2181,26.5,118,60848,Standing
Odisha,Odisha District 1,2022,Rabi,Banana,6043,20014,3312,Canal,Red,1432,1166,1274,51.6,129,328658,Harvested
Tripura,Tripura District 6,2022,Rabi,Sunflower,11542,34222,2965,Tube Well,Alluvial,5779,2919,3263,69.4,211,305438,Harvested
Punjab,Punjab District 2,2018,Zaid,Maize,40322,53789,1334,Rain-fed,Red,21975,894,1049,76.3,93,287240,Harvested
