State,District,Year,Quarter,Disease,Cases,Deaths,CFR,Hospitals,Beds,Doctors,Nurses,HealthFacility,VaccinationCoverage,SanitationCoverage,Status
Punjab,Punjab District 5,2021,Q3,Diarrhoea,3632,63,1.73,5,134,49,61,Primary Health Centre,56.7,40.9,Contained
Maharashtra,Maharashtra District 7,2019,Q2,Japanese Encephalitis,1059,4,0.38,36,522,171,475,Urban PHC,83.5,60.9,Active
Odisha,Odisha District 1,2020,Q3,Leptospirosis,1300,19,1.46,40,451,59,111,Urban PHC,66.0,59.9,Active
Goa,Goa District 8,2020,Q3,Diarrhoea,3039,3,0.10,35,902,190,556,Primary Health Centre,56.6,53.2,Active
Uttar Pradesh,Uttar District 8,2022,Q1,Japanese Encephalitis,7980,109,1.37,46,1101,233,457,District Hospital,77.8,43.5,Contained
Haryana,Haryana District 4,2018,Q1,Cholera,800,30,3.75,38,746,199,461,Community Health Centre,63.6,79.9,Contained
Tripura,Tripura District 6,2022,Q4,Malaria,5076,225,4.43,24,273,105,305,Community Health Centre,76.0,55.4,Contained
Nagaland,Nagaland District 4,2020,Q3,Filariasis,1087,48,4.42,9,230,59,85,District Hospital,59.4,75.9,Active
Andhra Pradesh,Andhra District 8,2019,Q2,COVID-19,8752,35,0.40,18,347,71,181,Primary Health Centre,75.0,58.8,Active
Uttarakhand,Uttarakhand District 6,2020,Q4,COVID-19,4977,115,2.31,34,1010,355,446,Sub-Centre,63.3,60.1,Active
Telangana,Telangana District 7,2023,Q2,Hepatitis B,3971,5,0.13,33,493,76,148,Community Health Centre,64.5,63.5,Active
Haryana,Haryana District 6,2021,Q3,Pneumonia,1737,82,4.72,48,959,372,595,Primary Health Centre,80.3,56.0,Active
Bihar,Bihar District 8,2020,Q3,Diarrhoea,490,17,3.47,33,875,140,232,District Hospital,76.2,59.9,Active
Karnataka,Karnataka District 8,2018,Q3,Chikungunya,8778,81,0.92,8,97,30,89,Community Health Centre,55.2,54.4,Active
Assam,Assam District 2,2018,Q4,Typhoid,2768,61,2.20,29,792,332,634,Urban PHC,69.4,44.8,Active
Puducherry,Puducherry District 4,2019,Q1,Filariasis,3787,131,3.46,31,339,118,189,Primary Health Centre,71.9,44.4,Active
Gujarat,Gujarat District 7,2021,Q3,Leptospirosis,7099,67,0.94,52,1027,188,427,Sub-Centre,64.5,40.9,Contained
Puducherry,Puducherry District 3,2023,Q1,Chikungunya,8228,90,1.09,47,1052,160,335,District Hospital,78.5,45.7,Active
Jharkhand,Jharkhand District 7,2020,Q2,Diarrhoea,4670,141,3.02,25,696,104,232,District Hospital,94.6,65.8,Contained
Arunachal Pradesh,Arunachal District 6,2021,Q4,Kala-azar,7759,138,1.78,23,424,201,291,Urban PHC,94.9,77.7,Active
Arunachal Pradesh,Arunachal District 3,2019,Q1,Filariasis,3898,153,3.93,32,515,234,412,Urban PHC,64.2,73.1,Active
Chandigarh,Chandigarh District 7,2018,Q4,Kala-azar,8750,127,1.45,34,1013,296,886,Urban PHC,92.2,54.1,Active
Chhattisgarh,Chhattisgarh District 6,2021,Q2,Cholera,2481,106,4.27,10,144,44,97,Primary Health Centre,73.4,63.3,Active
Chhattisgarh,Chhattisgarh District 4,2018,Q1,Kala-azar,2584,21,0.81,24,386,56,121,Primary Health Centre,77.3,54.0,Active
Punjab,Punjab District 4,2022,Q2,Kala-azar,8851,378,4.27,44,857,118,346,Sub-Centre,60.6,60.2,Contained
Kerala,Kerala District 8,2021,Q2,COVID-19,4415,194,4.39,42,1132,174,341,Sub-Centre,85.0,63.4,Active
Sikkim,Sikkim District 8,2022,Q2,Cholera,5169,101,1.95,41,660,223,533,Primary Health Centre,92.2,50.3,Contained
Chandigarh,Chandigarh District 6,2019,Q2,COVID-19,3786,166,4.38,32,954,390,769,Urban PHC,69.7,51.2,Contained
Kerala,Kerala District 8,2019,Q3,Cholera,5005,27,0.54,46,1003,487,671,Sub-Centre,87.6,65.8,Active
Gujarat,Gujarat District 4,2018,Q3,Dengue,6102,136,2.23,37,714,312,694,Urban PHC,56.0,69.4,Active
Punjab,Punjab District 2,2023,Q2,Malaria,3110,132,4.24,12,356,88,159,District Hospital,76.6,67.2,Active
Puducherry,Puducherry District 1,2018,Q2,Chikungunya,1410,14,0.99,39,709,305,335,Sub-Centre,83.1,79.7,Active
Mizoram,Mizoram District 5,2018,Q3,Filariasis,2640,128,4.85,17,191,37,57,Sub-Centre,75.3,60.2,Active
Ladakh,Ladakh District 2,2021,Q2,Pneumonia,4456,144,3.23,33,986,442,1083,Community Health Centre,73.3,60.6,Active
Goa,Goa District 7,2023,Q1,COVID-19,5363,85,1.58,5,123,18,46,Primary Health Centre,64.0,78.1,Active
Telangana,Telangana District 4,2023,Q1,Filariasis,8742,357,4.08,14,271,125,356,Community Health Centre,64.7,59.8,Contained
Assam,Assam District 3,2019,Q3,Malaria,4708,23,0.49,40,749,92,92,Urban PHC,65.4,42.6,Active
Meghalaya,Meghalaya District 1,2018,Q3,Typhoid,4985,200,4.01,37,556,140,348,Sub-Centre,74.5,40.6,Active
Madhya Pradesh,Madhya District 5,2018,Q3,Diarrhoea,7450,199,2.67,25,340,120,232,District Hospital,62.9,77.7,Active
Odisha,Odisha District 8,2019,Q1,Malaria,178,2,1.12,37,807,302,545,Primary Health Centre,81.0,41.1,Active
Manipur,Manipur District 3,2023,Q2,Pneumonia,4314,25,0.58,14,328,107,309,Urban PHC,76.8,73.0,Contained
Chhattisgarh,Chhattisgarh District 1,2022,Q2,Hepatitis B,2965,55,1.85,14,182,55,82,District Hospital,87.9,48.8,Active
Meghalaya,Meghalaya District 1,2019,Q2,Cholera,4235,187,4.42,24,435,91,113,Primary Health Centre,67.0,69.4,Active
Tamil Nadu,Tamil District 2,2023,Q2,Diarrhoea,7355,297,4.04,54,945,198,321,Community Health Centre,77.3,51.0,Contained
Karnataka,Karnataka District 4,2020,Q4,Kala-azar,3866,183,4.73,16,433,110,187,Community Health Centre,75.2,51.9,Active
Assam,Assam District 2,2018,Q1,Japanese Encephalitis,5140,219,4.26,14,339,73,119,Community Health Centre,78.3,41.2,Active
Rajasthan,Rajasthan District 3,2022,Q1,Typhoid,6839,297,4.34,19,384,145,362,District Hospital,60.2,61.3,Contained
Chandigarh,Chandigarh District 8,2019,Q2,Japanese Encephalitis,5086,29,0.57,48,575,111,327,District Hospital,70.0,63.3,Contained
Andhra Pradesh,Andhra District 1,2019,Q3,Diarrhoea,1315,34,2.59,33,401,146,415,Sub-Centre,68.2,51.6,Active
Himachal Pradesh,Himachal District 5,2023,Q3,Kala-azar,3970,61,1.54,47,1335,424,617,Primary Health Centre,67.7,56.8,Contained
West Bengal,West District 3,2020,Q4,Tuberculosis,1910,73,3.82,52,685,101,233,Primary Health Centre,84.0,60.8,Active
Delhi,Delhi District 1,2022,Q4,COVID-19,6896,107,1.55,32,512,86,244,Community Health Centre,58.4,75.8,Contained
Uttar Pradesh,Uttar District 5,2021,Q1,Pneumonia,2029,82,4.04,47,941,157,327,District Hospital,92.2,77.6,Active
Madhya Pradesh,Madhya District 8,2020,Q2,Malaria,7221,197,2.73,14,329,103,125,Community Health Centre,64.6,47.8,Active
Punjab,Punjab District 4,2022,Q2,Japanese Encephalitis,6158,12,0.19,33,806,282,645,District Hospital,92.0,70.8,Active
Mizoram,Mizoram District 2,2022,Q4,Dengue,4129,161,3.90,9,149,18,36,Community Health Centre,79.8,42.8,Active
Madhya Pradesh,Madhya District 5,2020,Q3,Pneumonia,8118,89,1.10,40,874,334,397,District Hospital,67.4,68.7,Active
Ladakh,Ladakh District 6,2018,Q2,Japanese Encephalitis,8262,338,4.09,8,95,20,37,Community Health Centre,86.1,42.2,Active
Sikkim,Sikkim District 1,2018,Q1,Dengue,7836,340,4.34,18,516,112,221,Community Health Centre,64.8,42.2,Contained
Tripura,Tripura District 7,2019,Q3,Cholera,767,6,0.78,19,300,115,304,Primary Health Centre,87.2,78.0,Active
West Bengal,West District 6,2021,Q1,Dengue,4713,201,4.26,19,371,56,114,Community Health Centre,86.9,72.3,Active
Meghalaya,Meghalaya District 1,2019,Q2,Leptospirosis,6629,308,4.65,49,1457,326,403,Community Health Centre,58.9,62.8,Contained
Tripura,Tripura District 8,2019,Q4,Filariasis,1041,39,3.75,40,814,125,215,Primary Health Centre,92.2,40.3,Active
Odisha,Odisha District 2,2021,Q1,Leptospirosis,3565,57,1.60,32,658,147,421,Community Health Centre,67.9,45.5,Active
Karnataka,Karnataka District 6,2021,Q2,Hepatitis B,2760,39,1.41,53,1076,280,464,Urban PHC,76.8,65.7,Active
Madhya Pradesh,Madhya District 2,2023,Q3,Hepatitis B,1500,60,4.00,19,368,116,159,Primary Health Centre,63.0,62.8,Active
Tripura,Tripura District 6,2020,Q1,Filariasis,6250,9,0.14,34,363,140,391,Primary Health Centre,57.6,71.7,Active
Himachal Pradesh,Himachal District 6,2023,Q3,Malaria,1005,36,3.58,11,154,72,123,Community Health Centre,68.5,68.4,Contained
Chhattisgarh,Chhattisgarh District 4,2023,Q1,Hepatitis B,7822,162,2.07,45,911,440,706,District Hospital,71.1,49.2,Active
Uttarakhand,Uttarakhand District 3,2019,Q3,Cholera,9066,77,0.85,32,398,52,67,Primary Health Centre,87.0,63.6,Active
Kerala,Kerala District 1,2021,Q1,COVID-19,1608,6,0.37,11,276,56,76,Sub-Centre,84.0,67.5,Active
